Activity Type,Distance,Calories,Avg HR,Max HR,Aerobic TE,Total Reps,Total Sets,Elapsed Time (hours),Total Calories,Steps,Goal_Achieved
Cardio,0,111,112,153,0.9,0,0,0.255,2517,6345,1
Calgary Running,1.97,113,139,154,2.1,0,0,0.194,2517,6345,1
Calgary Running,2.08,106,137,180,2.1,0,0,0.199,2344,4241,0
Calgary Walking,1.17,75,96,105,0.3,0,0,0.211,2252,3485,0
Calgary Walking,2.1,159,90,109,0.4,0,0,0.525,2517,6055,1
Cardio,0,130,113,157,1.1,0,0,0.289,2517,6055,1
Strength,0,184,93,117,0.5,382,33,1.047,2517,6055,1
Strength,0,147,88,120,0.3,307,26,0.751,2309,4393,0
Cardio,0,130,111,152,1.4,0,0,0.300,3044,8542,1
Calgary Hiking,11.7,922,114,153,2.1,0,0,2.856,3044,8542,1
Calgary Walking,2.36,257,77,114,0.5,0,0,1.258,2634,7006,1
Strength,0,365,118,154,2.1,322,25,0.944,2634,7006,1
Cardio,0,140,121,153,1.3,0,0,0.263,2507,2122,0
Strength,0,124,110,145,0.9,161,16,0.331,2507,2122,0
Cardio,0,66,110,145,0.6,0,0,0.202,2382,3046,0
Strength,0,159,109,136,0.8,257,18,0.446,2382,3046,0
Strength,0,190,104,138,0.8,258,26,0.626,2337,2653,0
Calgary Hiking,7.97,1713,118,169,3.2,0,0,4.756,3626,19325,1
Strength,0,84,89,115,0.3,218,18,0.419,2482,9080,1
Calgary Walking,3.14,204,94,110,0.8,0,0,0.575,2510,6116,1
Strength,0,262,96,130,0.5,406,36,1.069,2510,6116,1
Calgary Walking,2.88,201,96,125,0.8,0,0,0.576,2551,7462,1
Strength,0,151,113,129,0.8,182,16,0.385,2551,7462,1
Strength,0,314,110,132,1.3,321,28,0.912,2546,5527,0
Calgary Running,3.51,230,153,171,3.0,0,0,0.286,2465,5384,0
Hockey,10.05,995,138,184,3.6,0,0,1.854,3425,9824,1
Calgary Walking,5.19,372,98,133,1.0,0,0,1.218,2882,11155,1
Strength,0,412,104,130,1.0,568,54,1.468,2882,11155,1
Strength,0,234,111,138,1.2,187,14,0.602,2420,3373,0
Strength,0,380,99,139,0.7,409,34,1.401,2487,3196,0
Strength,0,118,114,135,0.7,174,15,0.288,2351,3888,0
Strength,0,346,114,143,1.7,377,32,0.940,2493,3258,0
Strength,0,461,103,144,1.3,483,37,1.513,2541,2564,0
Strength,0,447,110,138,1.6,466,35,1.282,2726,6786,1
Calgary Walking,3.94,270,101,129,0.7,0,0,0.833,2632,9935,1
Calgary Running,1.99,121,142,172,2.2,0,0,0.163,2632,9935,1
Strength,0,182,104,130,0.7,208,16,0.563,2418,3044,0
Strength,0,96,124,153,1.1,102,8,0.177,2443,5206,0
Cardio,0,127,114,138,0.8,0,0,0.269,2411,3353,0
Strength,0,114,103,126,0.5,102,10,0.324,2411,3353,0
Strength,0,420,117,143,2.0,378,28,1.079,2688,4415,0
Cardio,0,137,129,159,1.8,0,0,0.217,2688,4415,0
Cardio,0,150,111,141,0.9,0,0,0.342,2726,3835,0
Cardio,0,445,129,172,2.7,0,0,0.795,2726,3835,0
Calgary Cycling,6.17,226,92,132,0.4,0,0,0.840,2757,4328,0
Strength,0,409,102,141,1.2,333,27,1.333,2757,4328,0
Strength,0,327,88,129,0.4,558,44,1.581,2365,2493,0
Calgary Walking,2.66,176,99,124,0.5,0,0,0.538,2773,8354,1
Strength,0,361,110,146,1.3,477,29,1.031,2773,8354,1
Calgary Running,1.31,76,143,166,1.8,0,0,0.099,2773,8354,1
Strength,0,418,101,141,0.8,380,32,1.408,2489,2902,0
Calgary Cycling,17.37,725,121,185,2.3,0,0,2.207,2872,3531,0
